"Method","Bias_ME","MAD","MSE","MAPE","RSFE","Tracking_Signal","Next_Period_Forecast"
"1. Naive",13.543,13.754,887.033,1.437,3399.38,247.158,3513.87
"2. Moving Average (k=12)",73.186,73.186,21622.767,6.934,17637.881,241,3183.23
"3. Weighted MA (0.5/0.3/0.2)",23.096,23.194,2345.731,2.311,5751.005,247.947,3492.44
"4. Simple Exp. Smoothing",13.493,13.703,883.665,1.433,3400.224,248.144,3513.87
"5. Holt Trend-Corrected ES",0.913,5.774,205.945,0.825,230.059,39.847,3570.68
"6. Linear Trend Projection",0,411.721,295567.731,118.853,0,0,1587.21
"7. Seasonal Indices",-2.046,409.264,292986.735,117.765,-515.6,-1.26,1398.69
"8. Additive Decomposition",56.181,384.743,302446.727,104.797,14157.653,36.798,1431.69
"9. Multiplicative Decomposition",56.271,384.832,302634.543,104.863,14180.394,36.848,1437.12
"10. Trend + Seasonal Dummy Regression",0,411.353,295250.927,118.892,0,0,1560.61
